Slice First,Slice Second,Time First,Time Second
293,293,56.196913114,56.133074705
293,294,29.273646274,56.249161287
293,295,31.193692060,55.135836942
293,296,31.078784491,55.140002601
294,293,56.249161287,29.273646274
294,294,56.134305135,56.143839692
294,295,31.201760723,55.131381284
294,296,31.086853154,55.135546943
295,293,55.135836942,31.193692060
295,294,55.131381284,31.201760723
295,295,54.006477079,53.951126737
295,296,30.047061935,54.102473211
296,293,55.140002601,31.078784491
296,294,55.135546943,31.086853154
296,295,54.102473211,30.047061935
296,296,54.057876812,54.001345879
